cellID,ratio_DSB_Gy_Gbp,ratio_DSB_Gy_Gbp_Std,ratio_SSB_Gy_Gbp,ratio_SSB_Gy_Gbp_Std
5666,0.76562,0.695671,32.3409,19.1309
5667,4.30636,10.6311,105.506,234.557
5673,1.94905,5.09926,93.8542,246.896
5679,0,0,90.9491,252.073
5681,0.933264,0.587402,55.4626,26.1714
5687,0,0,77.9091,215.932
5693,0.78872,1.53135,25.5019,44.8948
5694,1.01713,2.30218,35.5997,69.106
5703,0,0,123.568,342.479
5721,0,0,34.8162,96.4961
5735,4.63437,10.5061,213.181,348.115
5738,0,0,35.266,97.7427
5740,0,0,110.202,305.434
5742,0,0,168.906,468.136
5744,0,0,35.0295,86.3248
5746,4.84783,11.1172,108.037,192.322
5747,0,0,9.61876,25.7877
5748,0,0,162.493,450.363
5749,0,0,4.84794,11.4199
5750,0.514841,0.884243,38.7847,60.1066
5752,0.659397,1.64549,42.2014,81.4293
5753,0,0,43.9123,94.6881
5754,0.503475,0.826974,15.32,21.1164
5756,0.30048,0.728372,38.4614,68.2006
5758,0,0,37.9148,97.0284
5769,0,0,20.0855,49.7744
5770,0,0,104.163,209.394
5771,0,0,18.8376,47.7559
5775,0.585907,1.00363,45.7008,56.615
5776,0,0,40.7813,113.029
5779,0.454334,1.09037,22.2624,53.4279
5780,0,0,70.9538,98.2033
5785,0,0,165.935,459.903
5789,0,0,34.7326,52.0512
5793,0.791511,1.78929,31.6604,59.3696
5796,1.64359,3.12216,85.7952,138.403
5802,0.350574,0.756535,86.9422,109.849
5803,3.12448,7.22941,96.8589,204.203
5806,0,0,71.3633,112.937
5807,1.02268,2.52124,16.7038,41.1803
5812,1.11629,2.47502,46.7603,96.5308
5815,0,0,158.339,294.505
5817,0.608909,1.49882,25.2697,50.891
5818,1.48724,3.64148,74.362,182.074
5819,2.6352,5.15258,59.2919,116.636
5820,0.65406,1.23267,28.3426,45.6741
5821,0,0,20.5548,51.1712
5822,0,0,194.83,539.988
5823,2.8701,6.29792,148.097,358.1
5826,1.05422,1.64583,33.735,47.4106
5827,0.539226,1.35823,44.7558,96.943
5828,1.12308,2.69736,94.3383,177.456
5830,0.493606,1.1231,22.2123,50.5396
5831,1.03058,1.58451,59.9795,78.1575
5837,1.90242,3.73174,57.5481,90.8342
5840,1.07521,2.98003,94.6186,262.243
5842,5.11662,9.13471,104.694,185.863
