cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
3668,1.2944e-07,2.21016e-07,1.38169e-07,1.83515e-07
3674,4.13838e-09,8.11041e-09,3.3107e-08,6.48833e-08
3676,3.9727e-08,6.79895e-08,2.52768e-08,4.95375e-08
3690,1.3905e-08,2.7251e-08,1.24895e-08,2.44769e-08
3693,2.60969e-07,2.24816e-07,1.26356e-06,1.5508e-06
3699,1.77735e-09,3.48326e-09,1.42188e-08,2.78661e-08
3716,3.2437e-07,3.14328e-07,6.77098e-07,4.23086e-07
3718,2.15896e-07,2.52475e-07,1.56792e-07,1.81241e-07
3719,2.13621e-07,1.64199e-07,5.92422e-07,7.39725e-07
3723,2.02309e-08,3.96486e-08,0,0
3735,4.66675e-07,4.5849e-07,1.24653e-06,1.56425e-06
3753,9.13852e-08,1.36203e-07,0,0
3755,3.40677e-08,5.79453e-08,3.92832e-08,7.69874e-08
3765,2.49675e-07,1.85084e-07,5.94653e-07,5.06888e-07
3784,3.0755e-08,4.28872e-08,1.09116e-07,2.13846e-07
3785,2.4561e-08,2.97896e-08,1.96488e-07,2.38317e-07
3797,3.29053e-09,6.44879e-09,2.63242e-08,5.15903e-08
3799,1.2887e-08,2.52561e-08,0,0
3805,8.87176e-07,6.09991e-07,1.9207e-06,9.01301e-07
3808,1.68797e-07,1.39507e-07,6.77414e-07,5.34226e-07
3812,1.13793e-08,2.23013e-08,9.10347e-08,1.7841e-07
3827,5.86561e-07,5.15867e-07,1.40985e-06,1.44802e-06
3833,1.37712e-07,8.8155e-08,5.31565e-07,3.95965e-07
3837,3.01807e-07,2.74069e-07,7.24169e-07,7.95446e-07
3848,1.37241e-08,2.68965e-08,0,0
3850,3.56183e-08,6.98049e-08,3.41268e-08,6.68819e-08
3852,4.04272e-08,4.87032e-08,1.7373e-07,2.56494e-07
3859,2.19298e-07,2.28744e-07,1.3534e-06,1.46528e-06
3860,1.20679e-08,2.36508e-08,9.65435e-08,1.89206e-07
3871,2.20178e-07,1.79077e-07,4.87265e-07,3.91884e-07
3902,3.32306e-08,5.81162e-08,2.65845e-07,4.6493e-07
3903,6.03855e-07,3.31256e-07,1.68875e-06,9.56194e-07
3925,7.17747e-08,1.21602e-07,8.51551e-08,1.66887e-07
3926,3.32017e-08,4.60065e-08,1.32225e-07,2.59136e-07
3938,1.95437e-08,3.83019e-08,0,0
3953,7.16383e-08,7.77104e-08,1.61554e-07,1.60768e-07
3969,1.13122e-08,2.21697e-08,9.04975e-08,1.77357e-07
3975,1.79299e-08,2.40965e-08,1.43439e-07,1.92772e-07
