cellID,SSB,statisticalError,DSB,statisticalError
5008,1.48e-05,2.60581e-05,1.6e-06,3.13569e-06
5013,5.8e-06,1.13669e-05,4e-07,7.83922e-07
5016,3.32e-05,3.14883e-05,2e-07,3.91961e-07
5038,1.38e-05,1.89221e-05,0,0
5039,1.08e-05,2.11659e-05,4e-07,7.83922e-07
5041,0.0010386,0.000365758,1.9e-05,1.0201e-05
5059,0.000104,0.000148099,2.6e-06,4.71975e-06
5062,0.0002226,0.000133184,7.4e-06,6.18225e-06
5079,2.76e-05,4.59664e-05,1e-06,1.9598e-06
5103,3.8e-06,7.44726e-06,0,0
5111,9.44e-05,0.000130673,3.2e-06,4.50286e-06
5118,1.34e-05,1.91563e-05,2e-07,3.91961e-07
5127,8.2e-05,6.92148e-05,2.6e-06,2.95866e-06
5129,0.0004594,0.000221929,9.6e-06,7.49468e-06
5132,8.44e-05,5.26805e-05,1e-06,1.17567e-06
5139,1.16e-05,1.66742e-05,0,0
5148,4.4e-06,8.62314e-06,0,0
5153,6.8e-05,0.000133267,2.8e-06,5.48745e-06
5160,1.24e-05,1.50868e-05,0,0
5168,4e-06,5.78675e-06,0,0
5169,4e-06,7.83922e-06,0,0
5192,2.7e-05,3.10828e-05,1.2e-06,1.66278e-06
5204,2.18e-05,2.9446e-05,6e-07,1.17588e-06
5205,1.22e-05,2.13424e-05,0,0
5206,1.92e-05,3.76282e-05,1.4e-06,2.74373e-06
5207,1.24e-05,1.86323e-05,0,0
5216,6.42e-05,4.56413e-05,4e-07,5.54261e-07
5227,5.5e-05,4.66988e-05,2e-07,3.91961e-07
5233,3.8e-06,5.44482e-06,0,0
5235,3.2e-06,6.27137e-06,0,0
5238,0.0001996,9.62125e-05,2.4e-06,2.14604e-06
5244,9.4e-06,1.84222e-05,0,0
5253,4.8e-06,9.40706e-06,0,0
5256,2.28e-05,3.38653e-05,8e-07,1.56784e-06
5264,3.6e-06,7.05529e-06,0,0
5270,4.6e-06,9.0151e-06,0,0
5306,3.9e-05,6.35879e-05,2.4e-06,4.32927e-06
5310,3e-06,5.87941e-06,0,0
5319,2e-06,3.91961e-06,0,0
5321,2.06e-05,2.61405e-05,6e-07,1.17588e-06
5323,6.2e-06,1.21508e-05,0,0
5328,1.06e-05,1.38949e-05,0,0
5332,3.2e-06,6.27137e-06,2e-07,3.91961e-07
5347,1.16e-05,1.73605e-05,0,0
5361,0.0001308,7.32195e-05,4.2e-06,3.859e-06
5368,4e-06,7.83922e-06,0,0
5377,9.6e-06,1.88141e-05,0,0
5378,3.4e-06,6.66333e-06,0,0
5397,3.52e-05,3.59013e-05,1.2e-06,1.35752e-06
5402,3.14e-05,3.35477e-05,1.2e-06,1.46635e-06
5423,5.84e-05,5.24738e-05,1.4e-06,1.51771e-06
5425,7e-06,1.37186e-05,2e-07,3.91961e-07
5426,1.6e-06,3.13569e-06,0,0
5427,1.06e-05,1.31798e-05,0,0
5431,7e-06,1.37186e-05,0,0
5436,1.6e-06,3.13569e-06,0,0
