cellID,totalCellDose,statisticalError,nucleusDose,statisticalError
4512,1.79908e-07,1.80087e-07,8.50117e-07,8.88087e-07
4532,1.5805e-08,3.09748e-08,4.88454e-08,9.57275e-08
4533,6.33097e-07,2.95165e-07,1.49538e-06,7.13039e-07
4569,2.28168e-08,4.47164e-08,1.82534e-07,3.57731e-07
4590,4.79692e-08,5.60328e-08,7.43424e-08,1.04196e-07
4592,9.59084e-08,1.87962e-07,0,0
4597,5.78146e-08,1.13305e-07,1.85631e-07,3.63801e-07
4599,1.70164e-08,3.33488e-08,5.48168e-08,1.0743e-07
4605,1.3036e-07,1.21043e-07,4.39654e-07,4.51319e-07
4608,1.06979e-07,2.09658e-07,0,0
4616,5.51094e-08,9.85123e-08,4.08126e-08,7.99847e-08
4624,2.87474e-07,2.20432e-07,9.6203e-07,1.08088e-06
4627,7.84722e-08,1.19841e-07,6.14298e-08,1.2039e-07
4634,1.37984e-08,2.70422e-08,1.10388e-07,2.16338e-07
4663,4.1861e-07,2.96174e-07,9.80381e-07,7.96614e-07
4670,1.84495e-08,2.11408e-08,1.47596e-07,1.69127e-07
4674,1.89261e-07,1.65307e-07,3.83535e-07,3.0862e-07
4686,9.49268e-09,1.86038e-08,7.59415e-08,1.4883e-07
4689,6.78428e-09,1.32959e-08,5.42742e-08,1.06367e-07
4696,1.27804e-07,1.19337e-07,4.30771e-07,5.12898e-07
4712,3.84918e-09,7.54363e-09,3.07934e-08,6.03491e-08
4717,1.63365e-08,2.27627e-08,1.30692e-07,1.82102e-07
4726,1.06863e-08,1.51657e-08,8.549e-08,1.21325e-07
4737,4.65788e-08,9.12854e-08,0,0
4745,1.9352e-07,3.79261e-07,4.38542e-07,8.59457e-07
4770,1.5692e-08,2.18277e-08,1.25536e-07,1.74622e-07
4782,2.07224e-07,1.72088e-07,4.71498e-07,4.01641e-07
4791,4.41364e-08,4.65617e-08,5.64469e-08,8.18591e-08
4798,8.67377e-09,1.69989e-08,6.93901e-08,1.35991e-07
4800,9.61838e-08,7.71872e-08,3.95711e-07,2.77629e-07
4801,9.86932e-08,1.0087e-07,4.2593e-07,3.78955e-07
4815,6.86423e-08,6.89822e-08,3.04997e-07,4.04086e-07
4823,2.54363e-08,4.98501e-08,0,0
4825,3.09994e-07,2.81487e-07,2.83396e-07,2.16992e-07
4831,4.16694e-08,4.94148e-08,5.68642e-08,8.04234e-08
4834,1.44698e-08,1.65532e-08,1.15758e-07,1.32426e-07
