cellID,DSBDimension
452,1.09236
452,0.064335
452,1.5211
452,0.153186
452,0.409504
452,1.66729
452,0.596003
452,1.20692
452,3.07105
452,3.32102
452,0.710098
452,0.959199
452,1.22484
452,1.15542
452,1.41266
452,0.56506
452,0.481807
452,3.05003
452,1.1013
452,1.77405
452,1.77405
452,3.80412
452,1.79768
452,2.80281
452,2.74368
452,2.74368
452,2.16645
452,3.17938
452,2.98391
452,0.702846
534,1.57684
556,0.429471
556,0.32986
556,1.82561
556,0.852222
556,1.23778
556,1.32942
556,2.76259
556,3.82135
556,2.98176
556,2.73784
556,2.73784
556,1.9466
556,3.18776
556,1.42172
556,0
556,2.07934
556,1.22121
556,1.44141
556,1.27769
556,2.771
556,0.696373
556,0.0164655
556,2.37554
556,2.13056
556,2.84953
556,2.72466
556,1.32975
556,2.63349
556,3.02191
556,2.71393
556,0.867251
570,3.08319
570,1.38287
570,1.7748
570,2.58212
570,4.15173
570,0.18536
570,3.01999
570,0
570,1.26242
570,2.28056
570,2.9266
570,2.11097
570,1.46873
570,1.32223
625,2.64911
625,2.64911
631,0.0796474
631,0.951499
655,0.596616
655,2.70062
655,2.70062
655,4.55705
655,1.12772
655,3.19649
655,2.33876
655,2.33876
655,2.33876
655,1.40844
655,2.47101
655,0.260849
655,0.9354
772,2.88168
772,4.90853
772,2.45955
816,2.01097
816,1.9669
816,2.15034
816,0.851839
816,2.18808
816,3.15468
816,2.30612
816,0.731815
816,0.494955
816,0.494955
816,2.76587
816,2.47934
816,1.18249
816,1.45973
823,0.927441
823,2.25184
823,1.87863
823,2.70612
823,0.0500844
863,1.89494
863,2.6573
863,0.207303
863,1.53605
863,0.936884
863,3.1396
886,2.50571
886,0
886,0.32389
886,2.51603
886,0.32389
886,2.51603
886,2.14742
886,0.966544
886,1.8771
886,1.83502
886,1.87722
886,1.8771
886,2.59613
886,3.37199
886,2.0217
886,0
886,2.0217
886,1.34011
886,0
886,2.39566
886,0.30418
886,0.666437
886,1.46052
886,2.66724
886,0
886,2.0256
886,2.60765
886,0.174971
886,2.0439
886,2.21246
886,2.99525
886,2.05211
886,2.59124
886,1.46756
886,2.07829
886,2.72616
886,1.95689
886,0.912907
886,0.912907
886,0.0149215
886,2.54901
886,2.73088
886,1.28315
886,2.54901
886,2.11691
886,2.74201
886,2.89082
886,2.08805
886,0.533588
886,1.26854
886,2.00304
886,1.383
886,1.383
886,1.383
909,0.591558
909,1.73743
909,2.44466
909,2.13417
909,2.30184
909,0
909,1.3676
909,2.30184
909,2.67586
909,2.89406
909,3.06352
909,1.09064
909,2.45748
909,2.58074
909,1.75171
909,1.1197
909,0.821145
909,0.864822
1017,1.89521
1017,2.99424
1059,0
1059,1.72667
1059,2.67541
1232,1.4316
1232,0.516595
1232,2.4958
1232,1.3437
1232,1.4316
1232,2.70048
1232,0.763901
1232,2.58865
1232,0
1232,0.369232
1232,2.18916
1232,2.76555
1232,0.772964
1232,3.0419
1232,3.90099
1232,2.28983
1232,2.58865
1232,1.01821
1232,0.0168837
1232,2.9542
1232,0.0168837
1232,0.0168837
1232,1.9295
1232,0.372229
1376,0.961401
1376,0.994028
1413,1.66681
1413,0
1413,2.6242
1413,1.09814
1413,2.17065
1413,2.52183
1413,0.78939
1413,2.95932
1413,0.78939
1413,1.38052
1554,1.01307
1564,1.88493
1564,2.64209
1684,1.89423
1684,2.12915
1684,1.60441
1684,2.702
1684,0.525612
1684,2.64767
1684,0.852902
1684,2.90059
1704,2.86784
1704,0.859713
1704,0.859713
1704,2.34472
1704,1.3206
1704,2.67836
1704,1.20276
1704,1.78787
1704,1.20276
1759,2.50601
1759,2.18328
1759,0.729136
1759,0.109152
2076,3.02842
2076,3.48986
2076,2.89886
2076,2.94883
2076,2.84848
2076,2.66929
2076,3.45649
2076,2.3633
2088,2.07922
2098,2.37377
2098,1.96504
2098,2.84063
2111,1.79151
2111,2.7937
2111,0.279208
2111,0
2111,0.133957
