cellID,DSBDimension
2182,1.39482
2182,2.90961
2182,1.39482
2182,2.52347
2182,1.46778
2182,3.08006
2182,1.58463
2182,2.04184
2274,0
2274,2.19388
2274,2.18786
2274,2.47659
2274,2.26399
2298,1.31328
2298,0.885709
2298,0.885709
2326,0.201445
2326,0.623419
2326,0.0208408
2326,0.623419
2326,1.26958
2326,2.33192
2326,1.30917
2326,0.899649
2326,0.993813
2326,4.31925
2326,1.48652
2326,1.84742
2326,2.78623
2326,2.67688
2532,0.41192
2541,2.49979
2596,1.01238
2596,0.187504
2596,0.392079
2684,1.45021
2684,2.03553
2684,1.9242
2716,2.19294
2716,1.23961
2716,2.35843
2716,0.155957
2716,2.69996
2716,1.37973
2722,1.45912
2722,3.16787
2722,2.9099
2722,3.10202
2722,2.9099
2722,1.85689
2722,1.85689
2722,1.25335
2739,2.94458
2739,0.488772
2740,2.58382
2753,0.546385
2753,3.03046
2753,0.453361
2754,2.44836
2754,1.60368
2754,1.60368
2754,1.7011
2754,2.43015
2754,2.43015
2754,2.11191
2754,1.02431
2754,1.19817
2754,1.13253
2754,0.180068
2754,2.32836
2754,0.95413
2754,0.37458
2754,0.558721
2754,0.579687
2754,0.439799
2754,3.1219
2754,2.91224
2754,1.0665
2754,0.350195
2754,4.60096
2754,0.439799
2754,2.91224
2754,1.00646
2754,1.44579
2835,1.03028
2835,1.36271
2835,1.03028
2835,0.595469
2835,3.04174
2835,2.44709
2835,1.8373
2835,1.17611
2881,1.95663
2881,1.98527
2881,1.95663
2948,1.61352
2948,0
2948,3.19222
2948,0.777365
2948,0.777365
3008,1.68872
3008,0.422381
3008,0.532709
3054,1.23463
3054,2.97942
3054,2.0608
3054,0.856037
3054,1.45538
3054,0.507324
3054,0.856037
3054,1.44036
3054,2.29528
3054,3.68987
3054,1.44036
3054,0.401133
3054,0.559267
3071,1.87873
3071,2.79155
3071,0.815833
3128,2.5976
3128,2.71738
3128,0.782885
3128,2.93283
3128,3.06171
3128,2.25078
3128,2.71738
3128,2.65289
3128,2.14052
3128,1.40596
3128,7.77415
3128,2.08765
3128,0.0659173
3170,1.78839
3170,0.307109
3170,1.34799
3170,1.91113
3170,1.59643
3170,2.36741
3170,0
3170,3.02119
3170,4.69279
